"","SPNO","Species_Name","Sex","Size","Chela","Shell_Cond","Egg_Color","Egg_Cond","Clutch","Random","Collection_Comments","ANOM_ID","PCR_result","Year","Index_Site","General_Location","Collected_By","Reference_NO","DNA_Plate_No","DNA_Well_No","Host_Tissue","Preservative","Sample_Status","C_V_H","CRUISE","VESSEL","HAUL","STATIONID","Visual_Positive"
"1",20140101,"Chionoecetes bairdi",1,16,NA,2,NA,NA,NA,NA,"",NA,0,2014,1,"EBS","SAP","",9,"H4","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_162_190",201401,162,190,"L-31",NA
"2",20140102,"Chionoecetes bairdi",1,18,NA,2,NA,NA,NA,NA,"",NA,0,2014,1,"EBS","SAP","",10,"D10","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_162_205",201401,162,205,"L-28",NA
"3",20140103,"Chionoecetes bairdi",1,19,NA,2,NA,NA,NA,NA,"",NA,0,2014,1,"EBS","SAP","",9,"G7","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_162_191",201401,162,191,"L-30",NA
"4",20140104,"Chionoecetes bairdi",1,20,NA,2,NA,NA,NA,NA,"",NA,1,2014,1,"EBS","SAP","",9,"B7","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_162_191",201401,162,191,"L-30",NA
"5",20140105,"Chionoecetes bairdi",1,21,NA,2,NA,NA,NA,NA,"",NA,0,2014,1,"EBS","SAP","",8,"A1","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_162_189",201401,162,189,"M-31",NA
"6",20140106,"Chionoecetes bairdi",1,22,NA,2,NA,NA,NA,NA,"",NA,1,2014,1,"EBS","SAP","",9,"C4","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_162_190",201401,162,190,"L-31",NA
"7",20140107,"Chionoecetes bairdi",1,22,NA,2,NA,NA,NA,NA,"",NA,3,2014,1,"EBS","SAP","",9,"E7","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_162_191",201401,162,191,"L-30",NA
"8",20140109,"Chionoecetes bairdi",1,23,NA,2,NA,NA,NA,NA,"",NA,0,2014,1,"EBS","SAP","",9,"D9","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_162_191",201401,162,191,"L-30",NA
"9",20140110,"Chionoecetes bairdi",1,23,NA,2,NA,NA,NA,NA,"",NA,1,2014,1,"EBS","SAP","",10,"B8","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_162_205",201401,162,205,"L-28",NA
"10",20140111,"Chionoecetes bairdi",1,23,NA,2,NA,NA,NA,NA,"",NA,0,2014,1,"EBS","SAP","",10,"F9","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_162_205",201401,162,205,"L-28",NA
"11",20140112,"Chionoecetes bairdi",1,23,NA,2,NA,NA,NA,NA,"",NA,1,2014,1,"EBS","SAP","",10,"A10","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_162_205",201401,162,205,"L-28",NA
"12",20140114,"Chionoecetes bairdi",1,24,NA,2,NA,NA,NA,NA,"",NA,1,2014,1,"EBS","SAP","",9,"H2","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_162_190",201401,162,190,"L-31",NA
"13",20140115,"Chionoecetes bairdi",1,24,NA,2,NA,NA,NA,NA,"",NA,0,2014,1,"EBS","SAP","",9,"F3","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_162_190",201401,162,190,"L-31",NA
"14",20140116,"Chionoecetes bairdi",1,24,NA,2,NA,NA,NA,NA,"",NA,0,2014,1,"EBS","SAP","",9,"B6","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_162_190",201401,162,190,"L-31",NA
"15",20140117,"Chionoecetes bairdi",1,24,NA,2,NA,NA,NA,NA,"",NA,0,2014,1,"EBS","SAP","",9,"F6","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_162_190",201401,162,190,"L-31",NA
"16",20140118,"Chionoecetes bairdi",1,24,NA,2,NA,NA,NA,NA,"BCS+",387,1,2014,1,"EBS","SAP","",9,"H7","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_162_191",201401,162,191,"L-30",NA
"17",20140119,"Chionoecetes bairdi",1,24,NA,2,NA,NA,NA,NA,"",NA,1,2014,1,"EBS","SAP","",13,"E6","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_94_215",201401,94,215,"K-27",NA
"18",20140122,"Chionoecetes bairdi",1,25,NA,2,NA,NA,NA,NA,"",NA,1,2014,1,"EBS","SAP","",9,"A5","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_162_190",201401,162,190,"L-31",NA
"19",20140123,"Chionoecetes bairdi",1,25,NA,2,NA,NA,NA,NA,"",NA,1,2014,1,"EBS","SAP","",9,"D5","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_162_190",201401,162,190,"L-31",NA
"20",20140124,"Chionoecetes bairdi",1,25,NA,2,NA,NA,NA,NA,"",NA,1,2014,1,"EBS","SAP","",9,"G6","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_162_190",201401,162,190,"L-31",NA
"21",20140125,"Chionoecetes bairdi",1,25,NA,2,NA,NA,NA,NA,"",NA,3,2014,1,"EBS","SAP","",9,"A9","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_162_191",201401,162,191,"L-30",NA
"22",20140126,"Chionoecetes bairdi",1,25,NA,2,NA,NA,NA,NA,"",NA,0,2014,1,"EBS","SAP","",9,"E9","Leg muscle","Frozen at sea, then transferred to 100% EtOH","Used Up/Thrown Away","201401_162_191",201401,162,191,"L-30",NA
