SPNO,Species_Name,Sex,Size,Chela,Shell_Cond,Egg_Color,Egg_Cond,Clutch,Random,Collection_Comments,ANOM_ID,PCR_result,Year,Specific_Location,General_Location,Collected_By,Reference_NO,DNA_Plate_No,DNA_Well_No,Host_Tissue,Preservative,Sample_Status,C_V_H,CRUISE,VESSEL,HAUL,START_TIME,STRATUM,START_LATITUDE,START_LONGITUDE,STATIONID,GEAR_DEPTH,BOTTOM_DEPTH,SURFACE_TEMP,Bottom_Temp,Maturity
20140101,Chionoecetes bairdi,2,83,,3,4,1,6,,,,0,2014,2014Index2,BS,SAP,,1,A1,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_110,201401,94,110,7/6/2014 15:47,32,56.64976,-168.91079,F-19,99,101,9.4,3.2,1
20140102,Chionoecetes bairdi,2,78,,3,4,1,6,,,,0,2014,2014Index2,BS,SAP,,1,B1,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_110,201401,94,110,7/6/2014 15:47,32,56.64976,-168.91079,F-19,99,101,9.4,3.2,1
20140103,Chionoecetes bairdi,2,75,,3,4,1,5,,,,0,2014,2014Index2,BS,SAP,,1,C1,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_110,201401,94,110,7/6/2014 15:47,32,56.64976,-168.91079,F-19,99,101,9.4,3.2,1
20140104,Chionoecetes bairdi,2,82,,3,4,1,5,,,,1,2014,2014Index2,BS,SAP,,1,D1,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_110,201401,94,110,7/6/2014 15:47,32,56.64976,-168.91079,F-19,99,101,9.4,3.2,1
20140105,Chionoecetes bairdi,2,73,,3,4,1,5,,,,0,2014,2014Index2,BS,SAP,,1,E1,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_110,201401,94,110,7/6/2014 15:47,32,56.64976,-168.91079,F-19,99,101,9.4,3.2,1
20140106,Chionoecetes bairdi,2,81,,3,4,1,5,,,,0,2014,2014Index2,BS,SAP,,1,F1,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_110,201401,94,110,7/6/2014 15:47,32,56.64976,-168.91079,F-19,99,101,9.4,3.2,1
20140107,Chionoecetes bairdi,1,32,,2,,,,,,,0,2014,2014Index2,BS,SAP,,1,G1,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_110,201401,94,110,7/6/2014 15:47,32,56.64976,-168.91079,F-19,99,101,9.4,3.2,3
20140108,Chionoecetes bairdi,2,84,,3,4,1,5,,,,0,2014,2014Index2,BS,SAP,,1,H1,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_110,201401,94,110,7/6/2014 15:47,32,56.64976,-168.91079,F-19,99,101,9.4,3.2,1
20140109,Chionoecetes bairdi,1,101,,2,,,,,,,0,2014,2014Index2,BS,SAP,,1,A2,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_110,201401,94,110,7/6/2014 15:47,32,56.64976,-168.91079,F-19,99,101,9.4,3.2,3
20140110,Chionoecetes bairdi,1,92,,2,,,,,,,0,2014,2014Index2,BS,SAP,,1,B2,Leg muscle,"Frozen at sea, then transferred to 100% EtOH",Used Up/Thrown Away,201401_94_110,201401,94,110,7/6/2014 15:47,32,56.64976,-168.91079,F-19,99,101,9.4,3.2,3
