SPNO,Species_Name,Sex,Size,chela,Shell_Cond,Egg_Color,Egg_Cond,Clutch,Random,Collection_Comments,ANOM_ID,PCR_result,Year,Specific_Location,General_Location,Collected_By,Reference_NO,DNA_Plate_No,DNA_Well_No,Host_Tissue,Preservative,Sample_Status,C_V_H,CRUISE,VESSEL,HAUL,START_TIME,STRATUM,START_LATITUDE,START_LONGITUDE,STATIONID,GEAR_DEPTH,BOTTOM_DEPTH,SURFACE_TEMP,Bottom_Temp,Maturity
20151001,Chionoecetes bairdi,2,58,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,A1,Blood,EtOH 100%,Available,201501_162_30,201501,162,30,6/8/2015 7:04,31,55.99596,-163.3968,D-08,86,88,7.2,4.3,0
20151002,Chionoecetes bairdi,2,62,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,B1,Blood,EtOH 100%,Available,201501_162_30,201501,162,30,6/8/2015 7:04,31,55.99596,-163.3968,D-08,86,88,7.2,4.3,0
20151003,Chionoecetes bairdi,2,66,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,C1,Blood,EtOH 100%,Available,201501_162_30,201501,162,30,6/8/2015 7:04,31,55.99596,-163.3968,D-08,86,88,7.2,4.3,0
20151004,Chionoecetes bairdi,2,60,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,D1,Blood,EtOH 100%,Available,201501_162_30,201501,162,30,6/8/2015 7:04,31,55.99596,-163.3968,D-08,86,88,7.2,4.3,0
20151005,Chionoecetes bairdi,2,62,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,E1,Blood,EtOH 100%,Available,201501_162_30,201501,162,30,6/8/2015 7:04,31,55.99596,-163.3968,D-08,86,88,7.2,4.3,0
20151006,Chionoecetes bairdi,2,52,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,F1,Blood,EtOH 100%,Available,201501_162_30,201501,162,30,6/8/2015 7:04,31,55.99596,-163.3968,D-08,86,88,7.2,4.3,0
20151007,Chionoecetes bairdi,2,55,,2,,,,,,,1,2015,2015Index3,BS,SAP,,10,G1,Blood,EtOH 100%,Available,201501_162_30,201501,162,30,6/8/2015 7:04,31,55.99596,-163.3968,D-08,86,88,7.2,4.3,0
20151008,Chionoecetes bairdi,1,64,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,H1,Blood,EtOH 100%,Available,201501_162_30,201501,162,30,6/8/2015 7:04,31,55.99596,-163.3968,D-08,86,88,7.2,4.3,3
20151009,Chionoecetes bairdi,1,104,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,A2,Blood,EtOH 100%,Available,201501_162_30,201501,162,30,6/8/2015 7:04,31,55.99596,-163.3968,D-08,86,88,7.2,4.3,3
20151010,Chionoecetes bairdi,1,111,,3,,,,,,,0,2015,2015Index3,BS,SAP,,10,B2,Blood,EtOH 100%,Available,201501_162_30,201501,162,30,6/8/2015 7:04,31,55.99596,-163.3968,D-08,86,88,7.2,4.3,3
20151011,Chionoecetes bairdi,2,52,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,C2,Blood,EtOH 100%,Available,201501_162_30,201501,162,30,6/8/2015 7:04,31,55.99596,-163.3968,D-08,86,88,7.2,4.3,0
20151012,Chionoecetes bairdi,1,55,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,D2,Blood,EtOH 100%,Available,201501_162_30,201501,162,30,6/8/2015 7:04,31,55.99596,-163.3968,D-08,86,88,7.2,4.3,3
20151013,Chionoecetes bairdi,1,91,,3,,,,,,,0,2015,2015Index3,BS,SAP,,10,E2,Blood,EtOH 100%,Available,201501_162_30,201501,162,30,6/8/2015 7:04,31,55.99596,-163.3968,D-08,86,88,7.2,4.3,3
20151014,Chionoecetes bairdi,2,54,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,F2,Blood,EtOH 100%,Available,201501_162_30,201501,162,30,6/8/2015 7:04,31,55.99596,-163.3968,D-08,86,88,7.2,4.3,0
20151015,Chionoecetes bairdi,1,108,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,G2,Blood,EtOH 100%,Available,201501_162_30,201501,162,30,6/8/2015 7:04,31,55.99596,-163.3968,D-08,86,88,7.2,4.3,3
20151016,Chionoecetes bairdi,1,58,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,H2,Blood,EtOH 100%,Available,201501_162_30,201501,162,30,6/8/2015 7:04,31,55.99596,-163.3968,D-08,86,88,7.2,4.3,3
20151017,Chionoecetes bairdi,1,56,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,A3,Blood,EtOH 100%,Available,201501_162_30,201501,162,30,6/8/2015 7:04,31,55.99596,-163.3968,D-08,86,88,7.2,4.3,3
20151018,Chionoecetes bairdi,2,58,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,B3,Blood,EtOH 100%,Available,201501_162_30,201501,162,30,6/8/2015 7:04,31,55.99596,-163.3968,D-08,86,88,7.2,4.3,0
20151019,Chionoecetes bairdi,1,82,,3,,,,,,,0,2015,2015Index3,BS,SAP,,10,C3,Blood,EtOH 100%,Available,201501_162_30,201501,162,30,6/8/2015 7:04,31,55.99596,-163.3968,D-08,86,88,7.2,4.3,3
20151021,Chionoecetes bairdi,1,112,,3,,,,,,,0,2015,2015Index3,BS,SAP,,10,E3,Blood,EtOH 100%,Available,201501_162_30,201501,162,30,6/8/2015 7:04,31,55.99596,-163.3968,D-08,86,88,7.2,4.3,3
20151022,Chionoecetes bairdi,2,52,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,F3,Blood,EtOH 100%,Available,201501_162_30,201501,162,30,6/8/2015 7:04,31,55.99596,-163.3968,D-08,86,88,7.2,4.3,0
20151023,Chionoecetes bairdi,2,57,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,G3,Blood,EtOH 100%,Available,201501_162_30,201501,162,30,6/8/2015 7:04,31,55.99596,-163.3968,D-08,86,88,7.2,4.3,0
20151024,Chionoecetes bairdi,1,90,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,H3,Blood,EtOH 100%,Available,201501_162_30,201501,162,30,6/8/2015 7:04,31,55.99596,-163.3968,D-08,86,88,7.2,4.3,3
20151025,Chionoecetes bairdi,1,110,,3,,,,,,,0,2015,2015Index3,BS,SAP,,10,A4,Blood,EtOH 100%,Available,201501_162_31,201501,162,31,6/8/2015 9:55,31,56.32585,-163.41674,E-08,83,85,7.2,3.6,3
20151026,Chionoecetes bairdi,1,105,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,B4,Blood,EtOH 100%,Available,201501_162_31,201501,162,31,6/8/2015 9:55,31,56.32585,-163.41674,E-08,83,85,7.2,3.6,3
20151027,Chionoecetes bairdi,1,103,,3,,,,,,,0,2015,2015Index3,BS,SAP,,10,C4,Blood,EtOH 100%,Available,201501_162_31,201501,162,31,6/8/2015 9:55,31,56.32585,-163.41674,E-08,83,85,7.2,3.6,3
20151028,Chionoecetes bairdi,2,43,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,D4,Blood,EtOH 100%,Available,201501_162_31,201501,162,31,6/8/2015 9:55,31,56.32585,-163.41674,E-08,83,85,7.2,3.6,0
20151029,Chionoecetes bairdi,1,106,,3,,,,,,,0,2015,2015Index3,BS,SAP,,10,E4,Blood,EtOH 100%,Available,201501_162_31,201501,162,31,6/8/2015 9:55,31,56.32585,-163.41674,E-08,83,85,7.2,3.6,3
20151030,Chionoecetes bairdi,1,50,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,F4,Blood,EtOH 100%,Available,201501_162_31,201501,162,31,6/8/2015 9:55,31,56.32585,-163.41674,E-08,83,85,7.2,3.6,3
20151031,Chionoecetes bairdi,1,112,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,G4,Blood,EtOH 100%,Available,201501_162_31,201501,162,31,6/8/2015 9:55,31,56.32585,-163.41674,E-08,83,85,7.2,3.6,3
20151032,Chionoecetes bairdi,1,112,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,H4,Blood,EtOH 100%,Available,201501_162_31,201501,162,31,6/8/2015 9:55,31,56.32585,-163.41674,E-08,83,85,7.2,3.6,3
20151033,Chionoecetes bairdi,1,83,,3,,,,,,,0,2015,2015Index3,BS,SAP,,10,A5,Blood,EtOH 100%,Available,201501_162_31,201501,162,31,6/8/2015 9:55,31,56.32585,-163.41674,E-08,83,85,7.2,3.6,3
20151034,Chionoecetes bairdi,1,89,,3,,,,,,,0,2015,2015Index3,BS,SAP,,10,B5,Blood,EtOH 100%,Available,201501_162_31,201501,162,31,6/8/2015 9:55,31,56.32585,-163.41674,E-08,83,85,7.2,3.6,3
20151035,Chionoecetes bairdi,2,52,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,C5,Blood,EtOH 100%,Available,201501_162_31,201501,162,31,6/8/2015 9:55,31,56.32585,-163.41674,E-08,83,85,7.2,3.6,0
20151036,Chionoecetes bairdi,1,37,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,D5,Blood,EtOH 100%,Available,201501_162_31,201501,162,31,6/8/2015 9:55,31,56.32585,-163.41674,E-08,83,85,7.2,3.6,3
20151037,Chionoecetes bairdi,1,84,,3,,,,,,,0,2015,2015Index3,BS,SAP,,10,E5,Blood,EtOH 100%,Available,201501_162_32,201501,162,32,6/8/2015 12:16,31,56.65822,-163.37278,F-08,73,75,7.2,4.1,3
20151038,Chionoecetes bairdi,1,60,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,F5,Blood,EtOH 100%,Available,201501_162_32,201501,162,32,6/8/2015 12:16,31,56.65822,-163.37278,F-08,73,75,7.2,4.1,3
20151040,Chionoecetes bairdi,1,93,,3,,,,,,,0,2015,2015Index3,BS,SAP,,10,H5,Blood,EtOH 100%,Available,201501_162_32,201501,162,32,6/8/2015 12:16,31,56.65822,-163.37278,F-08,73,75,7.2,4.1,3
20151041,Chionoecetes bairdi,1,45,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,A6,Blood,EtOH 100%,Available,201501_162_32,201501,162,32,6/8/2015 12:16,31,56.65822,-163.37278,F-08,73,75,7.2,4.1,3
20151042,Chionoecetes bairdi,1,89,,3,,,,,,,0,2015,2015Index3,BS,SAP,,10,B6,Blood,EtOH 100%,Available,201501_162_32,201501,162,32,6/8/2015 12:16,31,56.65822,-163.37278,F-08,73,75,7.2,4.1,3
20151043,Chionoecetes bairdi,1,52,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,C6,Blood,EtOH 100%,Available,201501_162_32,201501,162,32,6/8/2015 12:16,31,56.65822,-163.37278,F-08,73,75,7.2,4.1,3
20151044,Chionoecetes bairdi,1,70,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,D6,Blood,EtOH 100%,Available,201501_162_32,201501,162,32,6/8/2015 12:16,31,56.65822,-163.37278,F-08,73,75,7.2,4.1,3
20151045,Chionoecetes bairdi,1,103,,3,,,,,,,0,2015,2015Index3,BS,SAP,,10,E6,Blood,EtOH 100%,Available,201501_162_32,201501,162,32,6/8/2015 12:16,31,56.65822,-163.37278,F-08,73,75,7.2,4.1,3
20151046,Chionoecetes bairdi,1,52,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,F6,Blood,EtOH 100%,Available,201501_162_32,201501,162,32,6/8/2015 12:16,31,56.65822,-163.37278,F-08,73,75,7.2,4.1,3
20151047,Chionoecetes bairdi,1,51,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,G6,Blood,EtOH 100%,Available,201501_162_32,201501,162,32,6/8/2015 12:16,31,56.65822,-163.37278,F-08,73,75,7.2,4.1,3
20151048,Chionoecetes bairdi,1,52,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,H6,Blood,EtOH 100%,Available,201501_162_32,201501,162,32,6/8/2015 12:16,31,56.65822,-163.37278,F-08,73,75,7.2,4.1,3
20151049,Chionoecetes bairdi,2,58,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,A7,Blood,EtOH 100%,Available,201501_162_32,201501,162,32,6/8/2015 12:16,31,56.65822,-163.37278,F-08,73,75,7.2,4.1,0
20151050,Chionoecetes bairdi,1,43,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,B7,Blood,EtOH 100%,Available,201501_162_32,201501,162,32,6/8/2015 12:16,31,56.65822,-163.37278,F-08,73,75,7.2,4.1,3
20151051,Chionoecetes bairdi,1,107,,3,,,,,,,0,2015,2015Index3,BS,SAP,,10,C7,Blood,EtOH 100%,Available,201501_162_32,201501,162,32,6/8/2015 12:16,31,56.65822,-163.37278,F-08,73,75,7.2,4.1,3
20151052,Chionoecetes bairdi,1,55,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,D7,Blood,EtOH 100%,Available,201501_162_32,201501,162,32,6/8/2015 12:16,31,56.65822,-163.37278,F-08,73,75,7.2,4.1,3
20151053,Chionoecetes bairdi,1,40,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,E7,Blood,EtOH 100%,Available,201501_162_32,201501,162,32,6/8/2015 12:16,31,56.65822,-163.37278,F-08,73,75,7.2,4.1,3
20151054,Chionoecetes bairdi,1,39,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,F7,Blood,EtOH 100%,Available,201501_162_32,201501,162,32,6/8/2015 12:16,31,56.65822,-163.37278,F-08,73,75,7.2,4.1,3
20151055,Chionoecetes bairdi,2,56,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,G7,Blood,EtOH 100%,Available,201501_162_30,201501,162,30,6/8/2015 7:04,31,55.99596,-163.3968,D-08,86,88,7.2,4.3,0
20151056,Chionoecetes bairdi,2,51,,2,,,,,,,0,2015,2015Index3,BS,SAP,,10,H7,Blood,EtOH 100%,Available,201501_162_30,201501,162,30,6/8/2015 7:04,31,55.99596,-163.3968,D-08,86,88,7.2,4.3,0
