SPNO,Species_Name,Sex,Size,chela,Shell_Cond,Egg_Color,Egg_Cond,Clutch,Random,Collection_Comments,ANOM_ID,PCR_result,Year,Specific_Location,General_Location,Collected_By,Reference_NO,DNA_Plate_No,DNA_Well_No,Host_Tissue,Preservative,Sample_Status,C_V_H,CRUISE,VESSEL,HAUL,START_TIME,STRATUM,START_LATITUDE,START_LONGITUDE,STATIONID,GEAR_DEPTH,BOTTOM_DEPTH,SURFACE_TEMP,Bottom_Temp,Maturity
20163001,Chionoecetes bairdi,2,63.5,,2,0,0,0,,,,0,2016,2016Index3,BS,SAP,,30,A1,Blood,EtOH 100%,Available,201601_94_61,201601,94,61,6/15/2016 7:03,31,56.66485,-165.21631,F-05,74,76,9.9,4.5,0
20163002,Chionoecetes bairdi,2,33.3,,2,0,0,0,,,,0,2016,2016Index3,BS,SAP,,30,B1,Blood,EtOH 100%,Available,201601_94_61,201601,94,61,6/15/2016 7:03,31,56.66485,-165.21631,F-05,74,76,9.9,4.5,0
20163003,Chionoecetes bairdi,2,29.7,,2,0,0,0,,0.1 mL blood,,0,2016,2016Index3,BS,SAP,,30,C1,Blood,EtOH 100%,Available,201601_94_61,201601,94,61,6/15/2016 7:03,31,56.66485,-165.21631,F-05,74,76,9.9,4.5,0
20163004,Chionoecetes bairdi,1,87,14.7,3,,,,,,,0,2016,2016Index3,BS,SAP,,30,D1,Blood,EtOH 100%,Available,201601_94_61,201601,94,61,6/15/2016 7:03,31,56.66485,-165.21631,F-05,74,76,9.9,4.5,0
20163005,Chionoecetes bairdi,1,112.4,21.8,2,,,,,,,0,2016,2016Index3,BS,SAP,,30,E1,Blood,EtOH 100%,Available,201601_94_61,201601,94,61,6/15/2016 7:03,31,56.66485,-165.21631,F-05,74,76,9.9,4.5,1
20163006,Chionoecetes bairdi,1,105.8,22.8,3,,,,,,,0,2016,2016Index3,BS,SAP,,30,F1,Blood,EtOH 100%,Available,201601_94_61,201601,94,61,6/15/2016 7:03,31,56.66485,-165.21631,F-05,74,76,9.9,4.5,1
20163007,Chionoecetes bairdi,1,108.5,24.2,3,,,,,,,0,2016,2016Index3,BS,SAP,,30,G1,Blood,EtOH 100%,Available,201601_94_61,201601,94,61,6/15/2016 7:03,31,56.66485,-165.21631,F-05,74,76,9.9,4.5,1
20163008,Chionoecetes bairdi,1,92.3,21,3,,,,,"Double sample, sample from A2 in well also",,0,2016,2016Index3,BS,SAP,,30,H1,Blood,EtOH 100%,Available,201601_94_61,201601,94,61,6/15/2016 7:03,31,56.66485,-165.21631,F-05,74,76,9.9,4.5,1
20163009,Chionoecetes bairdi,1,97.1,19.1,3,,,,,,,3,2016,2016Index3,BS,SAP,,30,A2,Blood,EtOH 100%,Available,201601_94_61,201601,94,61,6/15/2016 7:03,31,56.66485,-165.21631,F-05,74,76,9.9,4.5,1
20163010,Chionoecetes bairdi,1,111.5,23.9,3,,,,,,,0,2016,2016Index3,BS,SAP,,30,B2,Blood,EtOH 100%,Available,201601_94_61,201601,94,61,6/15/2016 7:03,31,56.66485,-165.21631,F-05,74,76,9.9,4.5,1
